Metric,Value
Accuracy (Exact Match),0.8732394366197183
Precision (Macro),0.740449227957354
Recall (Macro),0.6013645484949832
F1-Score (Macro),0.6441712566580478
AUC (Macro OVR),0.9480505080318137
Top-3 Accuracy,0.9732394366197183
