Metric,Value
Accuracy (Exact Match),0.828169014084507
Precision (Macro),0.63913235590667
Recall (Macro),0.6135451505016722
F1-Score (Macro),0.6241760766758503
AUC (Macro OVR),0.9414718482091455
Top-3 Accuracy,0.9732394366197183
