Metric,Value
Accuracy (Exact Match),0.9014084507042254
Precision (Macro),0.7130289693127485
Recall (Macro),0.6472664437012263
F1-Score (Macro),0.6706058806282427
AUC (Macro OVR),0.9599760883200321
Top-3 Accuracy,0.995774647887324
